id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6111,Washington,PJ,31.47,CHA,PF/C,ORL,36.00,15.68,2.17,4.97,3.15,1.04,1.16,1.34,3.90,1.37,0.42,6.07,6.75,0.03,0.001,,
6195,Marshall,Naji,31.22,NOR,SF,SAC,34.00,15.78,1.39,5.45,3.72,1.24,0.31,1.69,4.16,3.29,0.85,5.55,7.25,0.06,0.001,,
6162,Anthony,Cole,30.48,ORL,PG,@ CHA,29.00,14.14,1.30,5.49,4.94,0.62,0.55,2.04,3.68,2.88,0.43,4.98,5.95,0.06,0.002,,
5448,Fultz,Markelle,30.42,ORL,PG,@ CHA,30.00,13.33,0.36,4.01,6.23,1.46,0.43,2.74,5.24,1.77,0.59,5.60,5.22,0.09,0.003,,
6160,Maxey,Tyrese,30.03,PHI,PG/SG,@ NYK,31.00,19.20,2.34,2.67,3.47,0.71,0.18,1.38,4.60,2.98,0.61,6.94,8.40,0.02,0.000,,
6057,Barrett,R.J.,29.53,NYK,SG/SF,PHI,34.00,18.89,1.62,4.72,2.52,0.50,0.15,2.39,5.07,3.89,1.39,6.69,8.17,0.03,0.000,,
5458,Monk,Malik,29.52,SAC,SG/SF,@ NOR,29.00,17.15,1.95,3.29,4.28,0.85,0.27,2.85,4.27,2.76,0.36,6.22,7.48,0.03,0.001,,
6324,Jones,Herb,29.35,NOR,SF/PF,SAC,34.00,12.98,1.10,4.70,2.90,2.32,0.85,1.56,3.56,2.56,0.82,4.66,5.72,0.02,0.000,,
3367,Harris,Tobias,29.20,PHI,SF/PF,@ NYK,34.00,14.77,1.57,5.97,2.79,0.65,0.63,1.31,4.35,1.36,0.23,5.92,5.97,0.06,0.001,,
5662,Huerter,Kevin,28.62,SAC,SG,@ NOR,33.00,15.94,2.71,3.74,2.78,1.24,0.39,1.62,3.26,1.29,0.50,5.97,6.99,0.02,0.000,,
3901,Anderson,Kyle,28.38,MIN,SF/PF,DEN,31.00,9.18,0.60,5.49,5.10,1.60,0.95,1.55,2.90,1.58,0.61,3.50,3.50,0.03,0.002,Questionable,
