id,last_name,first_name,team,position
5697,Wagner,Moritz,ORL,PF/C
5271,Simmons,Ben,BKN,PG/PF/C
5412,Prince,Taurean,MIN,SF
6076,Strus,Max,MIA,SG
3923,Harris,Gary,ORL,SG
6515,Washington,TyTy,HOU,PG
5803,McLaughlin,Jordan,MIN,PG
6322,Grimes,Quentin,NYK,SG
5976,White,Coby,CHI,PG
6124,Jerome,Ty,GSW,PG
4049,Theis,Daniel,IND,PF/C
5235,Niang,Georges,PHI,PF
5702,Bates-Diop,Keita,SAS,SF
6504,Sharpe,Shaedon,POR,SG
6110,Langford,Romeo,SAS,SG
6303,Duarte,Chris,IND,SG
6363,Alvarado,Jose,NOR,PG
5981,McDaniels,Jalen,PHI,PF
3490,Green,JaMychal,GSW,PF
5105,O'Neale,Royce,BKN,SF/PF
3934,McDermott,Doug,SAS,SF
6114,Bol,Bol,ORL,PF/C
6519,Hardy,Jaden,DAL,SG
2851,McGee,JaVale,DAL,C
5760,Nunn,Kendrick,WAS,SG
6307,Christopher,Josh,HOU,SG
5453,Isaac,Jonathan,ORL,SF/PF
6513,Agbaji,Ochai,UTA,SF
6287,Garuba,Usman,HOU,PF
6530,McGowens,Bryce,CHA,SG
5961,Thybulle,Matisse,POR,SG/SF
5725,Brown Jr,Troy,LAL,SF
2724,Green,Jeff,DEN,PF
6301,Kispert,Corey,WAS,SF
6193,Reed,Paul,PHI,PF
5907,Wade,Dean,CLE,PF
6561,Walker,Jabari,POR,PF
6330,Reaves,Austin,LAL,SG
6194,Azubuike,Udoka,UTA,C
6572,Robinson,Orlando,MIA,C
2643,Tucker,P.J.,PHI,SF/PF
3464,Drummond,Andre,CHI,C
6302,Mann,Tre,OKC,PG
6526,Braun,Christian,DEN,SG
5899,Highsmith,Haywood,MIA,SF
6718,Fontecchio,Simone,UTA,SF
6332,Nix,Daishen,HOU,SG
2600,Gay,Rudy,UTA,PF
2819,Dragic,Goran,CHI,PG
5488,Bryant,Thomas,DEN,C
5714,Milton,Shake,PHI,PG
3863,Curry,Seth,BKN,PG/SG
5442,Jones,Derrick,CHI,SF
6148,Toppin,Obi,NYK,PF
5495,Cancar,Vlatko,DEN,SF
6506,Griffin,A.J.,ATL,SF
6294,Thor,J.T.,CHA,PF
5705,Knox,Kevin,POR,SF
3924,Harris,Joe,BKN,SG/SF
5038,Osman,Cedi,CLE,SF
6016,Brissett,Oshae,IND,PF
6634,Williams,Donovan,ATL,SG
3370,Jackson,Reggie,DEN,PG
6498,Holmgren,Chet,OKC,PF
