id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
5658,Doncic,Luka,61.65,DAL,PG/SG,SAS,38,32.52,2.85,9.38,8.4,1.4,0.49,3.38,8.47,7.03,2.55,11.32,10.36,0.49,0.186,
3930,Jokic,Nikola,58.6,DEN,C,@ CLE,35,22.43,0.69,12.7,10.02,1.46,0.75,3.92,8.02,4.32,0.93,8.71,5.86,0.76,0.441,
5433,Sabonis,Domantas,53.85,SAC,PF/C,POR,38,20.99,0.49,12.86,8.81,0.97,0.44,3,7.72,4.08,1.24,8.21,5.14,0.76,0.289,
2011,James,LeBron,53.56,LAL,PG/SF/PF,GSW,36,28.85,2.15,8.99,6.73,1,0.55,2.99,8.77,4.86,1.54,10.92,11.19,0.38,0.042,
3916,Embiid,Joel,52.99,PHI,C,MEM,36,29.71,1.02,9.74,3.8,1.32,1.63,3.53,9.17,8.31,1.52,10.19,9.66,0.49,0.01,
3640,Davis,Anthony,52.5,LAL,PF/C,GSW,36,26.06,0.39,12.99,2.65,1.09,1.9,2.23,9.47,5.95,1.28,9.86,7.61,0.76,0.008,
3001,Harden,James,50.69,PHI,PG/SG,MEM,37,20.36,2.79,6.76,11.58,1.19,0.64,3.46,3.41,5.17,0.75,6.2,7.99,0.65,0.072,
5450,Tatum,Jayson,50.57,BOS,SF/PF,@ IND,37,28.07,2.97,9.12,4.72,1.04,0.61,3.09,6.42,6.32,0.99,9.39,10.92,0.49,0.015,
3542,Lillard,Damian,50.32,POR,PG,@ SAC,37,32.08,4.41,3.88,6.73,0.89,0.26,2.76,5.4,8.05,0.82,9.81,10.97,0.11,0.002,
5693,Gilgeous-Alexander,Shai,49.53,OKC,PG/SG,@ UTA,36,30.66,0.88,5.01,5.3,1.6,1.02,2.28,9.03,9.96,1.19,9.91,9.79,0.07,0.005,
6117,Morant,Ja,47.19,MEM,PG,@ PHI,34,25.33,1.52,5.8,8.12,1.16,0.27,3.67,7.32,6.13,2.14,8.84,10.68,0.38,0.027,
3369,Irving,Kyrie,46.22,DAL,PG/SG,SAS,37,26.16,3.45,4.79,6.01,1.2,0.88,2.01,6.12,3.57,0.38,9.57,9.52,0.11,0.003,Probable
5454,Markkanen,Lauri,45.96,UTA,SF/PF,OKC,36,27.61,3.45,9.17,1.93,0.67,0.54,1.78,5.34,6.58,0.91,8.79,9.58,0.49,0,Probable
6152,Haliburton,Tyrese,45.32,IND,PG/SG,BOS,34,20.75,3.02,3.93,9.46,1.69,0.48,2.29,4.52,2.65,0.42,7.54,8.65,0.49,0.01,
5354,Siakam,Pascal,44.48,TOR,PF/C,NOR,37,23.38,1.23,7.62,5.89,0.8,0.6,2.42,7.36,4.97,1.54,8.59,8.52,0.31,0.022,
5266,Brown,Jaylen,41.67,BOS,SG/SF,@ IND,36,24.6,2.62,7.26,3.15,1.18,0.32,3.04,6.15,4.44,1.32,8.77,9.9,0.31,0.006,Questionable
6112,Garland,Darius,40.71,CLE,PG/SG,DEN,36,21.06,2.39,2.71,8.93,1.15,0.06,2.65,4.87,4.15,0.62,7.26,7.79,0.38,0.004,
5452,Fox,De'Aaron,40.2,SAC,PG,POR,35,22,1.26,4.14,7.05,1.01,0.28,2.51,6.9,4.42,1.15,8.16,8.09,0.31,0.009,
