Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,,,,PG,Shai Gilgeous-Alexander (26727586),Shai Gilgeous-Alexander,26727586,PG/G/UTIL,10500,OKC@UTA 02/23/2023 09:00PM ET,OKC,49.71
,,,,,,,,,,,,,PG/SG,Kyrie Irving (26727589),Kyrie Irving,26727589,PG/SG/G/UTIL,10300,SAS@DAL 02/23/2023 08:30PM ET,DAL,46.08
,,,,,,,,,,,,,PF/C,Pascal Siakam (26727593),Pascal Siakam,26727593,PF/C/F/UTIL,10200,NOP@TOR 02/23/2023 07:30PM ET,TOR,46.91
,,,,,,,,,,,,,C,Domantas Sabonis (26727597),Domantas Sabonis,26727597,C/UTIL,10100,POR@SAC 02/23/2023 10:00PM ET,SAC,47.39
,,,,,,,,,,,,,PG,Stephen Curry (26727599),Stephen Curry,26727599,PG/G/UTIL,10000,GSW@LAL 02/23/2023 10:00PM ET,GSW,51.09
,,,,,,,,,,,,,PG,James Harden (26727602),James Harden,26727602,PG/G/UTIL,9900,MEM@PHI 02/23/2023 07:30PM ET,PHI,49.88
,,,,,,,,,,,,,PG,De'Aaron Fox (26727605),De'Aaron Fox,26727605,PG/G/UTIL,9800,POR@SAC 02/23/2023 10:00PM ET,SAC,41.99
,,,,,,,,,,,,,PG,Fred VanVleet (26727608),Fred VanVleet,26727608,PG/G/UTIL,9700,NOP@TOR 02/23/2023 07:30PM ET,TOR,40.25
,,,,,,,,,,,,,PG,Tyrese Haliburton (26727611),Tyrese Haliburton,26727611,PG/G/UTIL,9600,BOS@IND 02/23/2023 07:00PM ET,IND,44.93
,,,,,,,,,,,,,PG/SG,Donovan Mitchell (26727614),Donovan Mitchell,26727614,PG/SG/G/UTIL,9500,DEN@CLE 02/23/2023 07:00PM ET,CLE,44
,,,,,,,,,,,,,SF/PF,Lauri Markkanen (26727618),Lauri Markkanen,26727618,SF/PF/F/UTIL,9400,OKC@UTA 02/23/2023 09:00PM ET,UTA,42.06
,,,,,,,,,,,,,SG/SF,Jaylen Brown (26727622),Jaylen Brown,26727622,SG/SF/F/G/UTIL,9200,BOS@IND 02/23/2023 07:00PM ET,BOS,43.19
,,,,,,,,,,,,,PG/SG,Jordan Poole (26727627),Jordan Poole,26727627,PG/SG/G/UTIL,9100,GSW@LAL 02/23/2023 10:00PM ET,GSW,33.1
,,,,,,,,,,,,,PF/C,Zion Williamson (26727631),Zion Williamson,26727631,PF/C/F/UTIL,9000,NOP@TOR 02/23/2023 07:30PM ET,NOP,43.57
,,,,,,,,,,,,,SG,Brandon Ingram (26727635),Brandon Ingram,26727635,SG/G/UTIL,8900,NOP@TOR 02/23/2023 07:30PM ET,NOP,37.62
,,,,,,,,,,,,,SG/SF,Klay Thompson (26727638),Klay Thompson,26727638,SG/SF/F/G/UTIL,8800,GSW@LAL 02/23/2023 10:00PM ET,GSW,33.24
,,,,,,,,,,,,,PG,Jamal Murray (26727643),Jamal Murray,26727643,PG/G/UTIL,8700,DEN@CLE 02/23/2023 07:00PM ET,DEN,36.72
,,,,,,,,,,,,,SF/PF,Scottie Barnes (26727646),Scottie Barnes,26727646,SF/PF/F/UTIL,8500,NOP@TOR 02/23/2023 07:30PM ET,TOR,35.45
,,,,,,,,,,,,,PG,Darius Garland (26727650),Darius Garland,26727650,PG/G/UTIL,8400,DEN@CLE 02/23/2023 07:00PM ET,CLE,40.03
,,,,,,,,,,,,,PG/SG,Josh Giddey (26727653),Josh Giddey,26727653,PG/SG/G/UTIL,8300,OKC@UTA 02/23/2023 09:00PM ET,OKC,36.88
,,,,,,,,,,,,,PG,CJ McCollum (26727657),CJ McCollum,26727657,PG/G/UTIL,8200,NOP@TOR 02/23/2023 07:30PM ET,NOP,38.8
,,,,,,,,,,,,,SG,Desmond Bane (26727660),Desmond Bane,26727660,SG/G/UTIL,8100,MEM@PHI 02/23/2023 07:30PM ET,MEM,37.05
,,,,,,,,,,,,,PF/C,Evan Mobley (26727663),Evan Mobley,26727663,PF/C/F/UTIL,8000,DEN@CLE 02/23/2023 07:00PM ET,CLE,34.7
,,,,,,,,,,,,,SF/PF,Paolo Banchero (26727667),Paolo Banchero,26727667,SF/PF/F/UTIL,7900,DET@ORL 02/23/2023 07:00PM ET,ORL,35.92
,,,,,,,,,,,,,PF/C,Jaren Jackson Jr. (26727671),Jaren Jackson Jr.,26727671,PF/C/F/UTIL,7800,MEM@PHI 02/23/2023 07:30PM ET,MEM,35.51
,,,,,,,,,,,,,PG,Russell Westbrook (26727675),Russell Westbrook,26727675,PG/G/UTIL,7700,OKC@UTA 02/23/2023 09:00PM ET,UTA,37.38
,,,,,,,,,,,,,PF,Aaron Gordon (26727678),Aaron Gordon,26727678,PF/F/UTIL,7600,DEN@CLE 02/23/2023 07:00PM ET,DEN,33.4
,,,,,,,,,,,,,PG/SG,Jordan Clarkson (26727681),Jordan Clarkson,26727681,PG/SG/G/UTIL,7500,OKC@UTA 02/23/2023 09:00PM ET,UTA,33.79
,,,,,,,,,,,,,PF/C,Draymond Green (26727685),Draymond Green,26727685,PF/C/F/UTIL,7400,GSW@LAL 02/23/2023 10:00PM ET,GSW,30.39
,,,,,,,,,,,,,PG/SG,Anfernee Simons (26727689),Anfernee Simons,26727689,PG/SG/G/UTIL,7300,POR@SAC 02/23/2023 10:00PM ET,POR,33.56
,,,,,,,,,,,,,C,Myles Turner (26727693),Myles Turner,26727693,C/UTIL,7200,BOS@IND 02/23/2023 07:00PM ET,IND,35.83
,,,,,,,,,,,,,PF/C,Christian Wood (26727695),Christian Wood,26727695,PF/C/F/UTIL,7100,SAS@DAL 02/23/2023 08:30PM ET,DAL,33.82
,,,,,,,,,,,,,SF,Keldon Johnson (26727699),Keldon Johnson,26727699,SF/F/UTIL,7000,SAS@DAL 02/23/2023 08:30PM ET,SAS,33.7
,,,,,,,,,,,,,PF,Jerami Grant (26727702),Jerami Grant,26727702,PF/F/UTIL,6900,POR@SAC 02/23/2023 10:00PM ET,POR,33.14
,,,,,,,,,,,,,PG/SG,Derrick White (26727705),Derrick White,26727705,PG/SG/G/UTIL,6800,BOS@IND 02/23/2023 07:00PM ET,BOS,25.55
,,,,,,,,,,,,,SF/PF,Andrew Wiggins (26727709),Andrew Wiggins,26727709,SF/PF/F/UTIL,6700,GSW@LAL 02/23/2023 10:00PM ET,GSW,31.46
,,,,,,,,,,,,,C,Jarrett Allen (26727713),Jarrett Allen,26727713,C/UTIL,6600,DEN@CLE 02/23/2023 07:00PM ET,CLE,33.56
,,,,,,,,,,,,,PG/SG,D'Angelo Russell (26727715),D'Angelo Russell,26727715,PG/SG/G/UTIL,6500,GSW@LAL 02/23/2023 10:00PM ET,LAL,34.03
,,,,,,,,,,,,,PG,Marcus Smart (26727719),Marcus Smart,26727719,PG/G/UTIL,6400,BOS@IND 02/23/2023 07:00PM ET,BOS,29.72
,,,,,,,,,,,,,SF/PF,Bojan Bogdanovic (26727724),Bojan Bogdanovic,26727724,SF/PF/F/UTIL,6300,DET@ORL 02/23/2023 07:00PM ET,DET,31.75
,,,,,,,,,,,,,C,Jusuf Nurkic (26727722),Jusuf Nurkic,26727722,C/UTIL,6300,POR@SAC 02/23/2023 10:00PM ET,POR,33.11
,,,,,,,,,,,,,SG/SF,OG Anunoby (26727731),OG Anunoby,26727731,SG/SF/F/G/UTIL,6200,NOP@TOR 02/23/2023 07:30PM ET,TOR,32.43
,,,,,,,,,,,,,SF,Buddy Hield (26727728),Buddy Hield,26727728,SF/F/UTIL,6200,BOS@IND 02/23/2023 07:00PM ET,IND,31.71
,,,,,,,,,,,,,C,Robert Williams (26727748),Robert Williams,26727748,C/UTIL,6200,BOS@IND 02/23/2023 07:00PM ET,BOS,25.08
,,,,,,,,,,,,,SG/SF,Gary Trent Jr. (26727739),Gary Trent Jr.,26727739,SG/SF/F/G/UTIL,6100,NOP@TOR 02/23/2023 07:30PM ET,TOR,29.01
,,,,,,,,,,,,,C,Jonas Valanciunas (26727755),Jonas Valanciunas,26727755,C/UTIL,6100,NOP@TOR 02/23/2023 07:30PM ET,NOP,30.68
,,,,,,,,,,,,,SF/PF,Jalen Williams (26727744),Jalen Williams,26727744,SF/PF/F/UTIL,6100,OKC@UTA 02/23/2023 09:00PM ET,OKC,24.95
,,,,,,,,,,,,,SF,Michael Porter Jr. (26727736),Michael Porter Jr.,26727736,SF/F/UTIL,6000,DEN@CLE 02/23/2023 07:00PM ET,DEN,28.39
,,,,,,,,,,,,,PG,Markelle Fultz (26727750),Markelle Fultz,26727750,PG/G/UTIL,6000,DET@ORL 02/23/2023 07:00PM ET,ORL,29.12
,,,,,,,,,,,,,C,Steven Adams (26727753),Steven Adams,26727753,C/UTIL,6000,MEM@PHI 02/23/2023 07:30PM ET,MEM,29.99
,,,,,,,,,,,,,SG/SF,Franz Wagner (26727764),Franz Wagner,26727764,SG/SF/F/G/UTIL,5900,DET@ORL 02/23/2023 07:00PM ET,ORL,31.11
,,,,,,,,,,,,,C,Jakob Poeltl (26727762),Jakob Poeltl,26727762,C/UTIL,5900,NOP@TOR 02/23/2023 07:30PM ET,TOR,31.13
,,,,,,,,,,,,,C,Wendell Carter Jr. (26727771),Wendell Carter Jr.,26727771,C/UTIL,5800,DET@ORL 02/23/2023 07:00PM ET,ORL,31.88
,,,,,,,,,,,,,SG/SF,Devin Vassell (26727757),Devin Vassell,26727757,SG/SF/F/G/UTIL,5800,SAS@DAL 02/23/2023 08:30PM ET,SAS,33.63
,,,,,,,,,,,,,SF,Tim Hardaway Jr. (26727776),Tim Hardaway Jr.,26727776,SF/F/UTIL,5700,SAS@DAL 02/23/2023 08:30PM ET,DAL,23.67
,,,,,,,,,,,,,PG,Malcolm Brogdon (26727773),Malcolm Brogdon,26727773,PG/G/UTIL,5700,BOS@IND 02/23/2023 07:00PM ET,BOS,27.43
,,,,,,,,,,,,,C,Walker Kessler (26727769),Walker Kessler,26727769,C/UTIL,5700,OKC@UTA 02/23/2023 09:00PM ET,UTA,23.75
,,,,,,,,,,,,,C,Zach Collins (26727779),Zach Collins,26727779,C/UTIL,5600,SAS@DAL 02/23/2023 08:30PM ET,SAS,22.95
,,,,,,,,,,,,,PG/SG,Collin Sexton (26727781),Collin Sexton,26727781,PG/SG/G/UTIL,5600,OKC@UTA 02/23/2023 09:00PM ET,UTA,22.38
,,,,,,,,,,,,,PG/SG,Jaden Ivey (26727785),Jaden Ivey,26727785,PG/SG/G/UTIL,5500,DET@ORL 02/23/2023 07:00PM ET,DET,28.78
,,,,,,,,,,,,,SG/SF,Kevin Huerter (26727789),Kevin Huerter,26727789,SG/SF/F/G/UTIL,5500,POR@SAC 02/23/2023 10:00PM ET,SAC,27.03
,,,,,,,,,,,,,C,Precious Achiuwa (26727794),Precious Achiuwa,26727794,C/UTIL,5400,NOP@TOR 02/23/2023 07:30PM ET,TOR,23.21
,,,,,,,,,,,,,PG,Tre Jones (26727796),Tre Jones,26727796,PG/G/UTIL,5400,SAS@DAL 02/23/2023 08:30PM ET,SAS,29.1
,,,,,,,,,,,,,SG/SF,Donte DiVincenzo (26727807),Donte DiVincenzo,26727807,SG/SF/F/G/UTIL,5400,GSW@LAL 02/23/2023 10:00PM ET,GSW,22.31
,,,,,,,,,,,,,PF/C,Kelly Olynyk (26727799),Kelly Olynyk,26727799,PF/C/F/UTIL,5300,OKC@UTA 02/23/2023 09:00PM ET,UTA,26.47
,,,,,,,,,,,,,PG/SG,Tyrese Maxey (26727803),Tyrese Maxey,26727803,PG/SG/G/UTIL,5300,MEM@PHI 02/23/2023 07:30PM ET,PHI,31.1
,,,,,,,,,,,,,C,Jalen Duren (26727812),Jalen Duren,26727812,C/UTIL,5200,DET@ORL 02/23/2023 07:00PM ET,DET,23.97
,,,,,,,,,,,,,PF,Jeremy Sochan (26727822),Jeremy Sochan,26727822,PF/F/UTIL,5200,SAS@DAL 02/23/2023 08:30PM ET,SAS,21.75
,,,,,,,,,,,,,SG,Malik Monk (26727814),Malik Monk,26727814,SG/G/UTIL,5200,POR@SAC 02/23/2023 10:00PM ET,SAC,24.15
,,,,,,,,,,,,,SG/SF,Bennedict Mathurin (26727817),Bennedict Mathurin,26727817,SG/SF/F/G/UTIL,5100,BOS@IND 02/23/2023 07:00PM ET,IND,25.64
,,,,,,,,,,,,,SG/SF,Bruce Brown (26727837),Bruce Brown,26727837,SG/SF/F/G/UTIL,5000,DEN@CLE 02/23/2023 07:00PM ET,DEN,24.94
,,,,,,,,,,,,,PF/C,Isaiah Stewart (26727829),Isaiah Stewart,26727829,PF/C/F/UTIL,5000,DET@ORL 02/23/2023 07:00PM ET,DET,26.16
,,,,,,,,,,,,,PF/C,Larry Nance Jr. (26727849),Larry Nance Jr.,26727849,PF/C/F/UTIL,5000,NOP@TOR 02/23/2023 07:30PM ET,NOP,21.44
,,,,,,,,,,,,,PG,Dennis Schroder (26727842),Dennis Schroder,26727842,PG/G/UTIL,5000,GSW@LAL 02/23/2023 10:00PM ET,LAL,23.44
,,,,,,,,,,,,,SF/PF,Harrison Barnes (26727833),Harrison Barnes,26727833,SF/PF/F/UTIL,5000,POR@SAC 02/23/2023 10:00PM ET,SAC,25.01
,,,,,,,,,,,,,PF/C,Al Horford (26727845),Al Horford,26727845,PF/C/F/UTIL,4900,BOS@IND 02/23/2023 07:00PM ET,BOS,24.66
,,,,,,,,,,,,,SF/PF,Tobias Harris (26727825),Tobias Harris,26727825,SF/PF/F/UTIL,4900,MEM@PHI 02/23/2023 07:30PM ET,PHI,30.24
,,,,,,,,,,,,,SF,Trey Murphy III (26727861),Trey Murphy III,26727861,SF/F/UTIL,4800,NOP@TOR 02/23/2023 07:30PM ET,NOP,23.17
,,,,,,,,,,,,,SG/SF,Talen Horton-Tucker (26727853),Talen Horton-Tucker,26727853,SG/SF/F/G/UTIL,4800,OKC@UTA 02/23/2023 09:00PM ET,UTA,16.86
,,,,,,,,,,,,,PG,Killian Hayes (26727864),Killian Hayes,26727864,PG/G/UTIL,4700,DET@ORL 02/23/2023 07:00PM ET,DET,24.6
,,,,,,,,,,,,,PG/SG,Cole Anthony (26727867),Cole Anthony,26727867,PG/SG/G/UTIL,4700,DET@ORL 02/23/2023 07:00PM ET,ORL,26.16
,,,,,,,,,,,,,PF,Keegan Murray (26727858),Keegan Murray,26727858,PF/F/UTIL,4700,POR@SAC 02/23/2023 10:00PM ET,SAC,22.62
,,,,,,,,,,,,,PG/SG,Reggie Jackson (26727878),Reggie Jackson,26727878,PG/SG/G/UTIL,4600,DEN@CLE 02/23/2023 07:00PM ET,DEN,20.45
,,,,,,,,,,,,,PF,Herbert Jones (26727875),Herbert Jones,26727875,PF/F/UTIL,4600,NOP@TOR 02/23/2023 07:30PM ET,NOP,22.04
,,,,,,,,,,,,,SF/PF,Josh Green (26727871),Josh Green,26727871,SF/PF/F/UTIL,4600,SAS@DAL 02/23/2023 08:30PM ET,DAL,16.96
,,,,,,,,,,,,,C,Drew Eubanks (26727882),Drew Eubanks,26727882,C/UTIL,4600,POR@SAC 02/23/2023 10:00PM ET,POR,16.88
,,,,,,,,,,,,,PG/SG,Malaki Branham (26727884),Malaki Branham,26727884,PG/SG/G/UTIL,4500,SAS@DAL 02/23/2023 08:30PM ET,SAS,16.04
,,,,,,,,,,,,,PF/C,Brandon Clarke (26727888),Brandon Clarke,26727888,PF/C/F/UTIL,4500,MEM@PHI 02/23/2023 07:30PM ET,MEM,21.73
,,,,,,,,,,,,,SG/SF,Terence Davis (26727900),Terence Davis,26727900,SG/SF/F/G/UTIL,4500,POR@SAC 02/23/2023 10:00PM ET,SAC,14.4
,,,,,,,,,,,,,SG,Kentavious Caldwell-Pope (26727905),Kentavious Caldwell-Pope,26727905,SG/G/UTIL,4400,DEN@CLE 02/23/2023 07:00PM ET,DEN,22.69
,,,,,,,,,,,,,SG,Caris LeVert (26727908),Caris LeVert,26727908,SG/G/UTIL,4400,DEN@CLE 02/23/2023 07:00PM ET,CLE,24.96
,,,,,,,,,,,,,PG/SG,Devonte' Graham (26727914),Devonte' Graham,26727914,PG/SG/G/UTIL,4400,SAS@DAL 02/23/2023 08:30PM ET,SAS,13.41
,,,,,,,,,,,,,PG,T.J. McConnell (26727911),T.J. McConnell,26727911,PG/G/UTIL,4400,BOS@IND 02/23/2023 07:00PM ET,IND,20.45
,,,,,,,,,,,,,SF,Luguentz Dort (26727897),Luguentz Dort,26727897,SF/F/UTIL,4400,OKC@UTA 02/23/2023 09:00PM ET,OKC,25.44
,,,,,,,,,,,,,C,Kevon Looney (26727892),Kevon Looney,26727892,C/UTIL,4400,GSW@LAL 02/23/2023 10:00PM ET,GSW,23.85
,,,,,,,,,,,,,PF,Rui Hachimura (26727894),Rui Hachimura,26727894,PF/F/UTIL,4400,GSW@LAL 02/23/2023 10:00PM ET,LAL,21.3
,,,,,,,,,,,,,SF/PF,Keita Bates-Diop (26727918),Keita Bates-Diop,26727918,SF/PF/F/UTIL,4300,SAS@DAL 02/23/2023 08:30PM ET,SAS,15.77
,,,,,,,,,,,,,SG/SF,Sam Hauser (26727928),Sam Hauser,26727928,SG/SF/F/G/UTIL,4300,BOS@IND 02/23/2023 07:00PM ET,BOS,12.41
,,,,,,,,,,,,,C,Aleksej Pokusevski (26727926),Aleksej Pokusevski,26727926,C/UTIL,4300,OKC@UTA 02/23/2023 09:00PM ET,OKC,22.17
,,,,,,,,,,,,,PF,Santi Aldama (26727933),Santi Aldama,26727933,PF/F/UTIL,4300,MEM@PHI 02/23/2023 07:30PM ET,MEM,20.44
,,,,,,,,,,,,,PG/SG,Jalen Suggs (26727922),Jalen Suggs,26727922,PG/SG/G/UTIL,4200,DET@ORL 02/23/2023 07:00PM ET,ORL,21.1
,,,,,,,,,,,,,PF,Chris Boucher (26727936),Chris Boucher,26727936,PF/F/UTIL,4200,NOP@TOR 02/23/2023 07:30PM ET,TOR,21.27
,,,,,,,,,,,,,SF/PF,Grant Williams (26727939),Grant Williams,26727939,SF/PF/F/UTIL,4200,BOS@IND 02/23/2023 07:00PM ET,BOS,19.8
,,,,,,,,,,,,,SF,Dillon Brooks (26727947),Dillon Brooks,26727947,SF/F/UTIL,4200,MEM@PHI 02/23/2023 07:30PM ET,MEM,24.92
,,,,,,,,,,,,,PF/C,Jarred Vanderbilt (26727943),Jarred Vanderbilt,26727943,PF/C/F/UTIL,4200,GSW@LAL 02/23/2023 10:00PM ET,LAL,24.5
,,,,,,,,,,,,,PF/C,Jonathan Kuminga (26727950),Jonathan Kuminga,26727950,PF/C/F/UTIL,4100,GSW@LAL 02/23/2023 10:00PM ET,GSW,16.39
,,,,,,,,,,,,,SG,Malik Beasley (26727959),Malik Beasley,26727959,SG/G/UTIL,4100,GSW@LAL 02/23/2023 10:00PM ET,LAL,23.09
,,,,,,,,,,,,,SG/SF,Josh Richardson (26727954),Josh Richardson,26727954,SG/SF/F/G/UTIL,4000,NOP@TOR 02/23/2023 07:30PM ET,NOP,22.62
,,,,,,,,,,,,,PF,Reggie Bullock (26727969),Reggie Bullock,26727969,PF/F/UTIL,4000,SAS@DAL 02/23/2023 08:30PM ET,DAL,15.88
,,,,,,,,,,,,,PF,Aaron Nesmith (26727962),Aaron Nesmith,26727962,PF/F/UTIL,4000,BOS@IND 02/23/2023 07:00PM ET,IND,19.11
,,,,,,,,,,,,,SF/PF,Kenrich Williams (26727965),Kenrich Williams,26727965,SF/PF/F/UTIL,4000,OKC@UTA 02/23/2023 09:00PM ET,OKC,19.28
,,,,,,,,,,,,,C,Xavier Tillman (26727986),Xavier Tillman,26727986,C/UTIL,4000,MEM@PHI 02/23/2023 07:30PM ET,MEM,13.53
,,,,,,,,,,,,,PG,Ricky Rubio (26727983),Ricky Rubio,26727983,PG/G/UTIL,3900,DEN@CLE 02/23/2023 07:00PM ET,CLE,17.05
,,,,,,,,,,,,,PF/C,Marvin Bagley III (26727979),Marvin Bagley III,26727979,PF/C/F/UTIL,3900,DET@ORL 02/23/2023 07:00PM ET,DET,21.36
,,,,,,,,,,,,,C,Montrezl Harrell (26727972),Montrezl Harrell,26727972,C/UTIL,3900,MEM@PHI 02/23/2023 07:30PM ET,PHI,11.37
,,,,,,,,,,,,,SG/SF,De'Anthony Melton (26727974),De'Anthony Melton,26727974,SG/SF/F/G/UTIL,3900,MEM@PHI 02/23/2023 07:30PM ET,PHI,24.86
,,,,,,,,,,,,,SG/SF,Dyson Daniels (26727988),Dyson Daniels,26727988,SG/SF/F/G/UTIL,3800,NOP@TOR 02/23/2023 07:30PM ET,NOP,14.59
,,,,,,,,,,,,,PG/SG,Payton Pritchard (26728000),Payton Pritchard,26728000,PG/SG/G/UTIL,3800,BOS@IND 02/23/2023 07:00PM ET,BOS,9.2
,,,,,,,,,,,,,C,Mike Muscala (26728004),Mike Muscala,26728004,C/UTIL,3800,BOS@IND 02/23/2023 07:00PM ET,BOS,13.91
,,,,,,,,,,,,,SG,Isaiah Joe (26727993),Isaiah Joe,26727993,SG/G/UTIL,3800,OKC@UTA 02/23/2023 09:00PM ET,OKC,15.03
,,,,,,,,,,,,,PG/SG,Shaedon Sharpe (26727996),Shaedon Sharpe,26727996,PG/SG/G/UTIL,3800,POR@SAC 02/23/2023 10:00PM ET,POR,13.47
,,,,,,,,,,,,,SF/PF,Vlatko Cancar (26728008),Vlatko Cancar,26728008,SF/PF/F/UTIL,3700,DEN@CLE 02/23/2023 07:00PM ET,DEN,12.32
,,,,,,,,,,,,,PG/SG,Alec Burks (26728016),Alec Burks,26728016,PG/SG/G/UTIL,3700,DET@ORL 02/23/2023 07:00PM ET,DET,21.91
,,,,,,,,,,,,,SF/PF,Chuma Okeke (26728024),Chuma Okeke,26728024,SF/PF/F/UTIL,3700,DET@ORL 02/23/2023 07:00PM ET,ORL,14.66
,,,,,,,,,,,,,SF/PF,Naji Marshall (26728020),Naji Marshall,26728020,SF/PF/F/UTIL,3700,NOP@TOR 02/23/2023 07:30PM ET,NOP,20.1
,,,,,,,,,,,,,C,Dwight Powell (26728006),Dwight Powell,26728006,C/UTIL,3700,SAS@DAL 02/23/2023 08:30PM ET,DAL,15.02
,,,,,,,,,,,,,SF/PF,Nassir Little (26728012),Nassir Little,26728012,SF/PF/F/UTIL,3700,POR@SAC 02/23/2023 10:00PM ET,POR,11.84
,,,,,,,,,,,,,SG/SF,Hamidou Diallo (26728033),Hamidou Diallo,26728033,SG/SF/F/G/UTIL,3600,DET@ORL 02/23/2023 07:00PM ET,DET,16.08
,,,,,,,,,,,,,SG/SF,Cam Reddish (26728028),Cam Reddish,26728028,SG/SF/F/G/UTIL,3600,POR@SAC 02/23/2023 10:00PM ET,POR,14.95
,,,,,,,,,,,,,C,Moritz Wagner (26728041),Moritz Wagner,26728041,C/UTIL,3500,DET@ORL 02/23/2023 07:00PM ET,ORL,21.67
,,,,,,,,,,,,,C,James Wiseman (26728073),James Wiseman,26728073,C/UTIL,3500,DET@ORL 02/23/2023 07:00PM ET,DET,13.09
,,,,,,,,,,,,,PG,Jose Alvarado (26728043),Jose Alvarado,26728043,PG/G/UTIL,3500,NOP@TOR 02/23/2023 07:30PM ET,NOP,19.33
,,,,,,,,,,,,,PG/SG,Andrew Nembhard (26728046),Andrew Nembhard,26728046,PG/SG/G/UTIL,3500,BOS@IND 02/23/2023 07:00PM ET,IND,19.93
,,,,,,,,,,,,,C,Daniel Theis (26728078),Daniel Theis,26728078,C/UTIL,3500,BOS@IND 02/23/2023 07:00PM ET,IND,13.46
,,,,,,,,,,,,,PG,Ty Jerome (26728038),Ty Jerome,26728038,PG/G/UTIL,3500,GSW@LAL 02/23/2023 10:00PM ET,GSW,14.92
,,,,,,,,,,,,,SG/SF,Matisse Thybulle (26728050),Matisse Thybulle,26728050,SG/SF/F/G/UTIL,3500,POR@SAC 02/23/2023 10:00PM ET,POR,8.12
,,,,,,,,,,,,,SG/SF,Christian Braun (26728080),Christian Braun,26728080,SG/SF/F/G/UTIL,3400,DEN@CLE 02/23/2023 07:00PM ET,DEN,9.88
,,,,,,,,,,,,,SG,Gary Harris (26728085),Gary Harris,26728085,SG/G/UTIL,3400,DET@ORL 02/23/2023 07:00PM ET,ORL,15.83
,,,,,,,,,,,,,C,Guillermo Hernangomez (26728055),Guillermo Hernangomez,26728055,C/UTIL,3400,NOP@TOR 02/23/2023 07:30PM ET,NOP,16.82
,,,,,,,,,,,,,SG,Romeo Langford (26728068),Romeo Langford,26728068,SG/G/UTIL,3400,SAS@DAL 02/23/2023 08:30PM ET,SAS,14.56
,,,,,,,,,,,,,PF/C,Blake Griffin (26728062),Blake Griffin,26728062,PF/C/F/UTIL,3400,BOS@IND 02/23/2023 07:00PM ET,BOS,12.22
,,,,,,,,,,,,,C,Isaiah Jackson (26728066),Isaiah Jackson,26728066,C/UTIL,3400,BOS@IND 02/23/2023 07:00PM ET,IND,16.46
,,,,,,,,,,,,,SG/SF,Ochai Agbaji (26728057),Ochai Agbaji,26728057,SG/SF/F/G/UTIL,3400,OKC@UTA 02/23/2023 09:00PM ET,UTA,8.15
,,,,,,,,,,,,,C,Jaylin Williams (26728071),Jaylin Williams,26728071,C/UTIL,3400,OKC@UTA 02/23/2023 09:00PM ET,OKC,14.24
,,,,,,,,,,,,,PG,Tyus Jones (26728075),Tyus Jones,26728075,PG/G/UTIL,3400,MEM@PHI 02/23/2023 07:30PM ET,MEM,21.92
,,,,,,,,,,,,,SG/SF,Isaac Okoro (26728090),Isaac Okoro,26728090,SG/SF/F/G/UTIL,3300,DEN@CLE 02/23/2023 07:00PM ET,CLE,13.6
