Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
3665231622,NBA $600K Return From Break Special [$150K to 1st],141599279,$15 ,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
,,,,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
,,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
,,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
,,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG,Luka Doncic (26727564),Luka Doncic,26727564,PG/G/UTIL,11900,SAS@DAL 02/23/2023 08:30PM ET,DAL,61.5
,,,,,,,,,,,,,C,Nikola Jokic (26727567),Nikola Jokic,26727567,C/UTIL,11800,DEN@CLE 02/23/2023 07:00PM ET,DEN,59.24
,,,,,,,,,,,,,PG,Damian Lillard (26727569),Damian Lillard,26727569,PG/G/UTIL,11400,POR@SAC 02/23/2023 10:00PM ET,POR,50.91
,,,,,,,,,,,,,C,Joel Embiid (26727572),Joel Embiid,26727572,C/UTIL,11100,MEM@PHI 02/23/2023 07:30PM ET,PHI,57.04
,,,,,,,,,,,,,SF/PF,Jayson Tatum (26727574),Jayson Tatum,26727574,SF/PF/F/UTIL,11000,BOS@IND 02/23/2023 07:00PM ET,BOS,52.71
,,,,,,,,,,,,,PG,Ja Morant (26727578),Ja Morant,26727578,PG/G/UTIL,10800,MEM@PHI 02/23/2023 07:30PM ET,MEM,49.79
,,,,,,,,,,,,,SF,LeBron James (26727581),LeBron James,26727581,SF/F/UTIL,10700,GSW@LAL 02/23/2023 10:00PM ET,LAL,54.13
,,,,,,,,,,,,,C,Anthony Davis (26727584),Anthony Davis,26727584,C/UTIL,10600,GSW@LAL 02/23/2023 10:00PM ET,LAL,51.75
