Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
26,3716651507,Papasfishin,0,349.25,C Paul Reed F Jalen McDaniels G Trae Young PF Jaren Jackson Jr. PG Lindell Wigginton SF KJ Martin SG Immanuel Quickley UTIL Goga Bitadze,,Paul Reed,C,10.23%,24.5
27,3716896106,MPascavis (101/150),17.02,349,C Goga Bitadze F Herbert Jones G Trae Young PF Jalen McDaniels PG Spencer Dinwiddie SF Trey Murphy III SG Victor Oladipo UTIL Stephen Curry,,Andre Drummond,UTIL,10.01%,0
28,3716829280,TeameZ,0,347.75,C Isaiah Jackson F Svi Mykhailiuk G Theo Maledon PF Jalen McDaniels PG Kevin Porter Jr. SF Patrick Williams SG Jalen Green UTIL Alperen Sengun,,Svi Mykhailiuk,G,9.72%,40.75
29,3716811602,papagates (109/150),41.02,347,C Alperen Sengun F Marjon Beauchamp G Trae Young PF Jaren Jackson Jr. PG Theo Maledon SF Jalen McDaniels SG Davion Mitchell UTIL Cameron Payne,,Quentin Grimes,SF,9.06%,22
30,3716554830,JHabelitz23 (1/5),0,346.75,C Alperen Sengun F Brandon Ingram G Shake Milton PF Jaren Jackson Jr. PG Victor Oladipo SF Marjon Beauchamp SG Jaden Ivey UTIL Isaiah Jackson,,Bol Bol,F,8.87%,15.5
31,3717244925,moklovin (120/150),17.02,344.75,C Alperen Sengun F Brandon Ingram G Theo Maledon PF Draymond Green PG Killian Hayes SF Jalen McDaniels SG Victor Oladipo UTIL Shake Milton,,Kevin Porter Jr.,PG,7.94%,40.75
32,3716851892,ckpetros (1/2),0,344.25,C Alperen Sengun F Brandon Ingram G Shake Milton PF Georges Niang PG Theo Maledon SF Jalen McDaniels SG Johnny Davis UTIL Jaden Ivey,,Luka Doncic,G,7.68%,23.75
33,3716570767,bpcologna (134/150),17.02,343,C Alperen Sengun F Terence Davis G Kevin Porter Jr. PF Jaren Jackson Jr. PG Theo Maledon SF Marjon Beauchamp SG Jaden Ivey UTIL Lindell Wigginton,,Mark Williams,C,7.57%,33.75
33,3717194078,icealford,0,343,C Paul Reed F Brandon Ingram G Trae Young PF Jaren Jackson Jr. PG Theo Maledon SF Marjon Beauchamp SG Jaden Springer UTIL Lindell Wigginton,,Marjon Beauchamp,SF,7.25%,34.5
35,3716443627,dacoltz (96/150),24,341.75,C Alperen Sengun F LeBron James G Trae Young PF Jalen McDaniels PG Theo Maledon SF Max Strus SG Shake Milton UTIL Lindell Wigginton,,Draymond Green,PF,7.23%,16
35,3717077454,poppadom182 (7/10),0,341.75,C Cody Zeller F Brandon Ingram G Trae Young PF Jaren Jackson Jr. PG Theo Maledon SF Marjon Beauchamp SG Jaden Springer UTIL Lindell Wigginton,,Jordan Nwora,SF,7.04%,25.5
37,3717233133,locallad,0,341.5,C Goga Bitadze F Jaren Jackson Jr. G Lindell Wigginton PF Pascal Siakam PG Jaden Ivey SF Svi Mykhailiuk SG Johnny Davis UTIL Coby White,,Ja Morant,G,6.95%,29.5
38,3716836713,ShaidyAdvice (140/150),0,341.25,C Alperen Sengun F Marjon Beauchamp G Trae Young PF RJ Barrett PG Victor Oladipo SF Brandon Ingram SG Shake Milton UTIL Jaden Hardy,,Duncan Robinson,PF,6.78%,13.75
39,3716443562,dacoltz (31/150),24,340.5,C Alperen Sengun F Marjon Beauchamp G Lindell Wigginton PF Jaren Jackson Jr. PG Theo Maledon SF Buddy Hield SG Shake Milton UTIL Anthony Davis,,Johnny Davis,UTIL,6.73%,24.5
39,3717179226,mnfratstar1,24,340.5,C Alperen Sengun F Svi Mykhailiuk G Coby White PF Jaren Jackson Jr. PG Cameron Payne SF Patrick Williams SG Immanuel Quickley UTIL Shake Milton,,Cody Zeller,C,6.69%,23.25
41,3717121159,tomjk321 (113/150),24,340,C Isaiah Jackson F LeBron James G Trae Young PF Jaren Jackson Jr. PG Theo Maledon SF Marjon Beauchamp SG Victor Oladipo UTIL Lindell Wigginton,,Coby White,UTIL,6.61%,50.25
41,3717090451,jbasi73 (31/150),0,340,C Alperen Sengun F Theo Pinson G Trae Young PF Bol Bol PG Kevin Porter Jr. SF RJ Barrett SG Jaden Ivey UTIL Shake Milton,,Gabe Vincent,PG,6.40%,22.5
43,3716537499,chasedeushane (14/75),24,339.75,C Alperen Sengun F Jalen McDaniels G Cameron Payne PF Jaren Jackson Jr. PG Theo Maledon SF Svi Mykhailiuk SG Coby White UTIL Clint Capela,,Jalen Green,SG,6.21%,40.75
43,3717223302,myimer,0,339.75,C Clint Capela F Herbert Jones G Jaden Ivey PF Jalen McDaniels PG Trae Young SF Scottie Barnes SG Shake Milton UTIL Killian Hayes,,Jalen Suggs,UTIL,6.19%,13.25
45,3717121064,tomjk321 (18/150),0,339.5,C Mark Williams F Brandon Ingram G Trae Young PF Jalen McDaniels PG Theo Maledon SF Buddy Hield SG Jaden Hardy UTIL Lindell Wigginton,,Lindell Wigginton,G,6.05%,50.75
46,3716921315,MrFoot,0,339.25,C Jalen Duren F Jalen McDaniels G Kevin Porter Jr. PF Tari Eason PG Theo Maledon SF Svi Mykhailiuk SG Jaden Ivey UTIL Coby White,,Jabari Smith Jr.,PF,5.81%,24
47,3716738160,unclerico778 (2/3),0,338.25,C Alperen Sengun F Bennedict Mathurin G Trae Young PF Jalen McDaniels PG Victor Oladipo SF Brandon Ingram SG Shake Milton UTIL Jaden Hardy,,Bennedict Mathurin,SF,5.48%,27
48,3717032155,TSCANS13 (35/50),0,338,C Mark Williams F Jaren Jackson Jr. G Lindell Wigginton PF Haywood Highsmith PG Jaden Ivey SF Brandon Ingram SG Jaden Springer UTIL Alperen Sengun,,Mikal Bridges,SG,4.95%,34.25
49,3716443594,dacoltz (63/150),0,337.75,C Paul Reed F Jaren Jackson Jr. G Trae Young PF Jordan Nwora PG Theo Maledon SF Bennedict Mathurin SG Shake Milton UTIL Lindell Wigginton,,Andrew Nembhard,PG,4.51%,31.5
49,3716896095,MPascavis (90/150),0,337.75,C Goga Bitadze F Brandon Ingram G Jaden Springer PF Pascal Siakam PG Spencer Dinwiddie SF Jalen McDaniels SG Victor Oladipo UTIL Trae Young,,Patrick Williams,F,3.94%,44.5
49,3717048015,l800Eddie (70/150),0,337.75,C Paul Reed F Jaren Jackson Jr. G Trae Young PF Jordan Nwora PG Theo Maledon SF Bennedict Mathurin SG Shake Milton UTIL Lindell Wigginton,,CJ McCollum,PG,3.90%,37.25
52,3717048024,l800Eddie (79/150),24,337.5,C Alperen Sengun F Marjon Beauchamp G Lindell Wigginton PF Pascal Siakam PG Theo Maledon SF Jalen McDaniels SG Shake Milton UTIL Anthony Davis,,Spencer Dinwiddie,G,3.84%,37.25
53,3717015481,Ghettoboyz (5/5),0,337.25,C Alperen Sengun F Jaren Jackson Jr. G Kevin Porter Jr. PF Obi Toppin PG Theo Maledon SF Jalen McDaniels SG Shake Milton UTIL Isaiah Jackson,,Buddy Hield,F,3.77%,36
54,3716528603,Reboot78,0,337,C Alperen Sengun F Trey Murphy III G Kevin Porter Jr. PF Georges Niang PG Theo Maledon SF Svi Mykhailiuk SG Shake Milton UTIL Mark Williams,,Josh Okogie,SF,3.49%,19.25
55,3716670854,JBCJBCJBC (104/150),0,336.5,C Goga Bitadze F Jaren Jackson Jr. G Trae Young PF Jayson Tatum PG Jaden Ivey SF Max Strus SG Jaden Springer UTIL Lindell Wigginton,,Haywood Highsmith,PF,3.49%,30.75
55,3717090459,jbasi73 (39/150),0,336.5,C Paul Reed F Jalen McDaniels G Trae Young PF Pascal Siakam PG Kevin Porter Jr. SF Theo Pinson SG Jaden Ivey UTIL Shake Milton,,Franz Wagner,F,3.47%,19.25
57,3717075061,chasedeushane (49/75),24,335.75,C Goga Bitadze F Patrick Williams G Cameron Payne PF Jaren Jackson Jr. PG Theo Maledon SF Svi Mykhailiuk SG Jaden Ivey UTIL Kevin Porter Jr.,,Jae Crowder,PF,3.44%,30.75
58,3716970453,bgreseth (66/150),34.04,335.5,C Alperen Sengun F Terence Davis G Lindell Wigginton PF Jaren Jackson Jr. PG Trae Young SF Marjon Beauchamp SG Jaden Springer UTIL Stephen Curry,,Cole Anthony,UTIL,3.27%,33.75
58,3716408634,garnes222 (46/150),0,335.5,C Mark Williams F Brandon Ingram G Trae Young PF Jalen McDaniels PG Victor Oladipo SF Danuel House Jr. SG Jaden Hardy UTIL Jaren Jackson Jr.,,Trey Murphy III,F,3.23%,43.25
58,3716959640,InDaMixx (8/13),0,335.5,C Goga Bitadze F Jalen McDaniels G Dejounte Murray PF Tari Eason PG Killian Hayes SF Jayson Tatum SG Shake Milton UTIL Trae Young,,RJ Barrett,PF,3.09%,47.75
61,3717084670,RasheedWallets (1/4),24,332.75,C Alperen Sengun F Pascal Siakam G Jaden Ivey PF Jalen McDaniels PG Victor Oladipo SF Terrence Ross SG Jaden Hardy UTIL Trae Young,,Jalen Duren,UTIL,3.03%,28
62,3716670837,JBCJBCJBC (87/150),17.02,332.5,C Mark Williams F Jaren Jackson Jr. G Trae Young PF Bol Bol PG Theo Maledon SF Jalen McDaniels SG Terence Davis UTIL Alperen Sengun,,Terrence Ross,SG,3.03%,15.75
62,3716447840,westonselman (123/150),0,332.5,C Alperen Sengun F Pascal Siakam G Trae Young PF Bol Bol PG Jaden Ivey SF Jalen McDaniels SG Victor Oladipo UTIL Jaden Hardy,,Cameron Johnson,PF,2.72%,33.75
64,3717051664,VR4337 (1/7),0,332.25,C Goga Bitadze F Bryce McGowens G Shake Milton PF Jalen McDaniels PG Jaden Ivey SF Brandon Ingram SG Immanuel Quickley UTIL Theo Maledon,,Corey Kispert,SF,2.56%,26.75
65,3716570692,bpcologna (59/150),0,332,C Alperen Sengun F Justin Holiday G Trae Young PF Georges Niang PG Shake Milton SF Brandon Ingram SG Jaden Ivey UTIL Jaden Hardy,,Klay Thompson,SG,2.56%,23
