Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
766,3717006763,hixx (114/150),0,290,C Nic Claxton F Brandon Ingram G Shake Milton PF Jordan Nwora PG Theo Maledon SF RJ Barrett SG Jaden Springer UTIL Jaden Hardy,,,
766,3717152510,Ozbo81 (2/3),0,290,C Alperen Sengun F Corey Kispert G Jaden Ivey PF Jalen McDaniels PG Jordan Goodwin SF Svi Mykhailiuk SG Quentin Grimes UTIL Jay Huff,,,
766,3717160414,Ozbo81 (3/3),0,290,C Alperen Sengun F Corey Kispert G Jaden Ivey PF Jalen McDaniels PG Jordan Goodwin SF Svi Mykhailiuk SG Quentin Grimes UTIL Jay Huff,,,
770,3717102840,BDholla89 (109/150),58.04,289.75,C Goga Bitadze F Terence Davis G Lindell Wigginton PF Jalen McDaniels PG Jaden Ivey SF Brandon Ingram SG Klay Thompson UTIL Anthony Davis,,,
770,3717201733,Halo4256,34.04,289.75,C Alex Len F Jalen McDaniels G Stephen Curry PF Jaren Jackson Jr. PG Shake Milton SF Jayson Tatum SG Victor Oladipo UTIL Caleb Martin,,,
770,3716570636,bpcologna (3/150),24,289.75,C Alperen Sengun F LeBron James G Trae Young PF Duncan Robinson PG Shake Milton SF Marjon Beauchamp SG Jaden Ivey UTIL Jaden Hardy,,,
770,3716568216,flashman888 (2/2),17.02,289.75,C James Wiseman F Svi Mykhailiuk G Stephen Curry PF Jalen McDaniels PG Jaden Ivey SF Haywood Highsmith SG Mikal Bridges UTIL Goga Bitadze,,,
770,3716970466,bgreseth (79/150),17.02,289.75,C Mark Williams F Marjon Beauchamp G Jaden Springer PF Jaren Jackson Jr. PG Theo Maledon SF Brandon Ingram SG Jalen Green UTIL Terence Davis,,,
770,3717117918,CWHomes,17.02,289.75,C Goga Bitadze F Jalen McDaniels G Theo Maledon PF Jabari Smith Jr. PG Stephen Curry SF Svi Mykhailiuk SG Cole Anthony UTIL Obi Toppin,,,
770,3716824576,giantsquid (67/150),0,289.75,C Alperen Sengun F Bobby Portis G Shake Milton PF Jalen McDaniels PG Jaden Ivey SF Jayson Tatum SG Victor Oladipo UTIL Jaden Hardy,,,
770,3716824879,bbroom,0,289.75,C Alperen Sengun F Bennedict Mathurin G Jalen Green PF Bol Bol PG Kevin Porter Jr. SF Svi Mykhailiuk SG Coby White UTIL R.J. Hampton,,,
770,3716896009,MPascavis (4/150),0,289.75,C Paul Reed F Josh Hart G Spencer Dinwiddie PF Haywood Highsmith PG Theo Maledon SF Trey Murphy III SG Gabe Vincent UTIL Trae Young,,,
770,3717121110,tomjk321 (64/150),0,289.75,C Isaiah Jackson F Brandon Ingram G Ja Morant PF Jaren Jackson Jr. PG Shake Milton SF Marjon Beauchamp SG Victor Oladipo UTIL Jaden Hardy,,,
780,3716924019,billsfan777 (142/150),65.020004,289.5,C Anthony Davis F Terence Davis G Coby White PF Pascal Siakam PG Trae Young SF Marjon Beauchamp SG Victor Oladipo UTIL Cameron Payne,,,
780,3717090506,jbasi73 (86/150),51.06,289.5,C Alperen Sengun F Terence Davis G Stephen Curry PF Jalen McDaniels PG Jaden Ivey SF PJ Dozier SG Victor Oladipo UTIL Pascal Siakam,,,
780,3716483098,Nickelback4Lyfe (7/150),41.02,289.5,C Robert Williams F Terence Davis G Trae Young PF Jaren Jackson Jr. PG Theo Maledon SF Jordan Nwora SG Andrew Nembhard UTIL Cameron Payne,,,
780,3716970537,bgreseth (150/150),41.02,289.5,C Alperen Sengun F Jaren Jackson Jr. G Lindell Wigginton PF Pascal Siakam PG Victor Oladipo SF Terence Davis SG Jaden Springer UTIL LeBron James,,,
780,3716878076,jgreenblatt (13/60),24,289.5,C Meyers Leonard F LeBron James G Shake Milton PF Jalen McDaniels PG Trae Young SF Brandon Ingram SG Victor Oladipo UTIL Jaden Hardy,,,
780,3716727609,bgk0091 (8/53),17.02,289.5,C Alperen Sengun F Terence Davis G Coby White PF Jae Crowder PG Luka Doncic SF Jalen McDaniels SG Shake Milton UTIL Paul Reed,,,
780,3717154227,gmartel16 (1/4),17.02,289.5,C Alperen Sengun F Anthony Lamb G Victor Oladipo PF Jabari Smith Jr. PG Kevin Porter Jr. SF Svi Mykhailiuk SG Jalen Green UTIL Theo Maledon,,,
780,3717007956,Bomeara2001,0,289.5,C Isaiah Jackson F Pascal Siakam G Jaden Hardy PF Jaren Jackson Jr. PG Lindell Wigginton SF Brandon Ingram SG Shake Milton UTIL Paul Reed,,,
780,3717036972,belloso09 (3/3),0,289.5,C Cody Zeller F Svi Mykhailiuk G Kevin Porter Jr. PF Jae Crowder PG Cole Anthony SF Bryce McGowens SG Jaden Ivey UTIL Jalen Green,,,
780,3717144008,sugarblack,0,289.5,C Isaiah Hartenstein F Jayson Tatum G Immanuel Quickley PF Obi Toppin PG Shake Milton SF Jalen McDaniels SG Victor Oladipo UTIL Alperen Sengun,,,
780,3717201505,signupfree (4/12),0,289.5,C Paul Reed F Jalen McDaniels G Luka Doncic PF De'Andre Hunter PG Trae Young SF Danuel House Jr. SG Shake Milton UTIL Clint Capela,,,
791,3716923904,billsfan777 (27/150),48,289.25,C Alperen Sengun F LeBron James G Trae Young PF Duncan Robinson PG Theo Maledon SF Marjon Beauchamp SG Shake Milton UTIL Cameron Payne,,,
791,3716443558,dacoltz (27/150),41.02,289.25,C Alperen Sengun F LeBron James G Lindell Wigginton PF Duncan Robinson PG Theo Maledon SF Marjon Beauchamp SG Shake Milton UTIL Stephen Curry,,,
791,3717047969,l800Eddie (24/150),41.02,289.25,C Alperen Sengun F LeBron James G Lindell Wigginton PF Duncan Robinson PG Theo Maledon SF Marjon Beauchamp SG Shake Milton UTIL Stephen Curry,,,
791,3717074375,butler2222 (16/20),34.04,289.25,C Paul Reed F Terence Davis G Lindell Wigginton PF Jae Crowder PG Trae Young SF Brandon Ingram SG Jaden Springer UTIL Stephen Curry,,,
791,3716570725,bpcologna (92/150),24,289.25,C Isaiah Jackson F LeBron James G Lindell Wigginton PF Bol Bol PG Theo Maledon SF Brandon Ingram SG Victor Oladipo UTIL Alperen Sengun,,,
791,3716659528,Bblack288 (8/18),24,289.25,C Jay Huff F Svi Mykhailiuk G Theo Maledon PF Jabari Smith Jr. PG Kevin Porter Jr. SF Jalen McDaniels SG Jalen Green UTIL Cameron Payne,,,
791,3716789637,webthekid (89/150),24,289.25,C Paul Reed F Marjon Beauchamp G Spencer Dinwiddie PF Jaren Jackson Jr. PG Jaden Ivey SF Brandon Ingram SG Jaden Springer UTIL Cameron Payne,,,
791,3717128506,Pinneyaj (3/5),24,289.25,C Isaiah Jackson F RJ Barrett G Theo Maledon PF Jaren Jackson Jr. PG Cameron Payne SF Brandon Ingram SG Jaden Hardy UTIL Goga Bitadze,,,
791,3716443588,dacoltz (57/150),0,289.25,C Isaiah Jackson F Brandon Ingram G Ja Morant PF Duncan Robinson PG Trae Young SF Jalen McDaniels SG Shake Milton UTIL Jaden Hardy,,,
791,3716667078,ChipotleAddict (131/150),0,289.25,C Alperen Sengun F Marjon Beauchamp G Ja Morant PF Jalen McDaniels PG Shake Milton SF Jordan Nwora SG Immanuel Quickley UTIL Jaden Hardy,,,
801,3716836716,ShaidyAdvice (143/150),48,289,C Alperen Sengun F Jaren Jackson Jr. G Cameron Payne PF Jordan Nwora PG Victor Oladipo SF Jalen McDaniels SG Jaden Hardy UTIL Anthony Davis,,,
801,3716570712,bpcologna (79/150),24,289,C Anthony Davis F Patrick Williams G Theo Maledon PF Bol Bol PG Killian Hayes SF Brandon Ingram SG Jaden Hardy UTIL Lindell Wigginton,,,
801,3716923911,billsfan777 (34/150),24,289,C Isaiah Jackson F Patrick Williams G Theo Maledon PF Pascal Siakam PG Andrew Nembhard SF Brandon Ingram SG Shake Milton UTIL Cameron Payne,,,
801,3716552952,TSCANS13 (8/50),17.02,289,C Paul Reed F Terence Davis G Jaden Springer PF Pascal Siakam PG Theo Maledon SF Brandon Ingram SG Jaden Ivey UTIL Lindell Wigginton,,,
801,3716670811,JBCJBCJBC (61/150),17.02,289,C Goga Bitadze F Brandon Ingram G Theo Pinson PF Haywood Highsmith PG Spencer Dinwiddie SF Buddy Hield SG Jaden Ivey UTIL Stephen Curry,,,
801,3717060246,retblatt216 (4/4),17.02,289,C Goga Bitadze F Georges Niang G Spencer Dinwiddie PF Jabari Smith Jr. PG Stephen Curry SF Jayson Tatum SG Shake Milton UTIL Victor Oladipo,,,
801,3717175255,SteveyBallGame (21/44),17.02,289,C Alperen Sengun F Brandon Ingram G Lindell Wigginton PF Caleb Martin PG Trae Young SF Svi Mykhailiuk SG Jaden Hardy UTIL Terence Davis,,,
808,3717090481,jbasi73 (61/150),41.02,288.75,C Paul Reed F Terence Davis G Theo Maledon PF Ish Wainright PG Jaden Ivey SF Brandon Ingram SG Shake Milton UTIL Trae Young,,,
808,3716443534,dacoltz (3/150),34.04,288.75,C Isaiah Jackson F Terence Davis G Trae Young PF Jordan Nwora PG Theo Maledon SF Jalen McDaniels SG Jaden Hardy UTIL Stephen Curry,,,
808,3716667026,ChipotleAddict (79/150),34.04,288.75,C Isaiah Jackson F Terence Davis G Trae Young PF Jalen McDaniels PG Theo Maledon SF Jordan Nwora SG Jaden Hardy UTIL Stephen Curry,,,
808,3716801370,papagates (8/150),34.04,288.75,C Isaiah Jackson F Terence Davis G Trae Young PF Jalen McDaniels PG Theo Maledon SF Jordan Nwora SG Jaden Hardy UTIL Stephen Curry,,,
808,3716923958,billsfan777 (81/150),34.04,288.75,C Isaiah Jackson F Brandon Ingram G Trae Young PF Draymond Green PG Theo Maledon SF Marjon Beauchamp SG Shake Milton UTIL Terence Davis,,,
808,3716843695,broncos1975,24,288.75,C Obi Toppin F Bennedict Mathurin G Kevin Porter Jr. PF Jalen McDaniels PG Killian Hayes SF Svi Mykhailiuk SG Derrick White UTIL Cameron Payne,,,
808,3717121104,tomjk321 (58/150),24,288.75,C Paul Reed F LeBron James G Lindell Wigginton PF Jalen McDaniels PG Shake Milton SF Brandon Ingram SG Jaden Ivey UTIL Jaden Hardy,,,
808,3717169445,jamesdowning100 (11/26),24,288.75,C Jay Huff F Jalen McDaniels G Delon Wright PF Pascal Siakam PG Trae Young SF Bogdan Bogdanovic SG Jaden Ivey UTIL Cameron Payne,,,
808,3716570733,bpcologna (100/150),17.02,288.75,C Alperen Sengun F Terence Davis G Lindell Wigginton PF Jaren Jackson Jr. PG Spencer Dinwiddie SF Brandon Ingram SG Jaden Springer UTIL Jaden Hardy,,,
808,3716824893,tarinel,0,288.75,C Alperen Sengun F Jabari Smith Jr. G Jaden Ivey PF Bol Bol PG Kevin Porter Jr. SF Royce O'Neale SG Jalen Green UTIL Shake Milton,,,
808,3716989885,kingkong33 (3/6),0,288.75,C Daniel Gafford F Svi Mykhailiuk G Shake Milton PF Herbert Jones PG Coby White SF Quentin Grimes SG Immanuel Quickley UTIL Johnny Davis,,,
808,3717201510,signupfree (9/12),0,288.75,C Paul Reed F Brandon Ingram G Trae Young PF Jalen Johnson PG Dejounte Murray SF Jalen McDaniels SG Jaden Springer UTIL Clint Capela,,,
808,3717219490,CarolinaCam88 (3/5),0,288.75,C Alperen Sengun F Jabari Smith Jr. G Coby White PF Jalen Johnson PG Kevin Porter Jr. SF Bennedict Mathurin SG Jaden Ivey UTIL Jaden Hardy,,,
821,3716838563,snicker621,24,288.5,C Alperen Sengun F KJ Martin G Cameron Payne PF Cameron Johnson PG Theo Maledon SF Quentin Grimes SG Jalen Green UTIL Shake Milton,,,
821,3716896074,MPascavis (69/150),24,288.5,C Mark Williams F Georges Niang G Ja Morant PF Haywood Highsmith PG Trae Young SF Buddy Hield SG Mikal Bridges UTIL Cameron Payne,,,
821,3717163177,jardy11,17.02,288.5,C James Wiseman F KJ Martin G Theo Maledon PF Jalen McDaniels PG Stephen Curry SF Tari Eason SG Jaden Ivey UTIL Goga Bitadze,,,
821,3717244939,moklovin (134/150),17.02,288.5,C Mark Williams F Brandon Ingram G Coby White PF Jae Crowder PG Shake Milton SF Bennedict Mathurin SG Jaden Springer UTIL Stephen Curry,,,
821,3716445447,kyyy87,0,288.5,C Alperen Sengun F Max Strus G Victor Oladipo PF Obi Toppin PG Cole Anthony SF Svi Mykhailiuk SG Jaden Ivey UTIL Jalen Duren,,,
821,3717075467,RocketManDuh (5/5),0,288.5,C Nikola Vucevic F Brandon Ingram G Shake Milton PF Jalen McDaniels PG CJ McCollum SF Caleb Martin SG Gabe Vincent UTIL Nic Claxton,,,
821,3717145815,banksy888 (1/3),0,288.5,C Goga Bitadze F Sam Hauser G OG Anunoby PF Jayson Tatum PG Kevin Porter Jr. SF Buddy Hield SG Victor Oladipo UTIL Alperen Sengun,,,
828,3717090558,jbasi73 (138/150),58.04,288.25,C Alperen Sengun F LeBron James G PJ Dozier PF Patrick Williams PG Shake Milton SF Terence Davis SG Jaden Ivey UTIL Trae Young,,,
828,3717027666,ljhenry (1/2),48,288.25,C Alperen Sengun F Pascal Siakam G Shake Milton PF Jaren Jackson Jr. PG Cameron Payne SF Terrence Ross SG Mikal Bridges UTIL Goga Bitadze,,,
828,3716673323,legendsofLambeau,24,288.25,C Goga Bitadze F Jaren Jackson Jr. G Cameron Payne PF Pascal Siakam PG Theo Maledon SF Brandon Ingram SG Shake Milton UTIL Meyers Leonard,,,
828,3717077840,meyers2305 (7/25),24,288.25,C Isaiah Jackson F LeBron James G Trae Young PF Georges Niang PG Shake Milton SF Brandon Ingram SG Victor Oladipo UTIL Jaden Hardy,,,
828,3716789602,webthekid (54/150),0,288.25,C Mark Williams F RJ Barrett G Theo Maledon PF Pascal Siakam PG Jaden Ivey SF Marjon Beauchamp SG Gabe Vincent UTIL Jaden Hardy,,,
833,3716666961,ChipotleAddict (14/150),48,288,C Alperen Sengun F LeBron James G Trae Young PF Jalen McDaniels PG Shake Milton SF Jordan Nwora SG Jaden Hardy UTIL Cameron Payne,,,
833,3716811559,papagates (66/150),48,288,C Alperen Sengun F LeBron James G Trae Young PF Jalen McDaniels PG Shake Milton SF Jordan Nwora SG Jaden Hardy UTIL Cameron Payne,,,
833,3717047957,l800Eddie (12/150),41.02,288,C Anthony Davis F Marjon Beauchamp G Jaden Hardy PF Duncan Robinson PG Trae Young SF Jalen McDaniels SG Shake Milton UTIL Stephen Curry,,,
833,3717244841,moklovin (36/150),41.02,288,C Anthony Davis F Brandon Ingram G Lindell Wigginton PF Jalen McDaniels PG Shake Milton SF Caleb Martin SG Jaden Springer UTIL Stephen Curry,,,
833,3716570769,bpcologna (136/150),24,288,C Omer Yurtseven F LeBron James G Shake Milton PF Jayson Tatum PG Theo Maledon SF Theo Pinson SG Victor Oladipo UTIL Trae Young,,,
833,3716801380,papagates (18/150),24,288,C Paul Reed F LeBron James G Trae Young PF Jalen McDaniels PG Theo Maledon SF Max Strus SG Coby White UTIL Jaden Hardy,,,
833,3716871267,craftylefty (84/150),24,288,C Alperen Sengun F LeBron James G Jaden Springer PF Pascal Siakam PG Theo Maledon SF Jalen McDaniels SG Victor Oladipo UTIL Jaden Hardy,,,
833,3716408595,garnes222 (7/150),17.02,288,C Mark Williams F Justin Holiday G Jaden Hardy PF Cameron Johnson PG Trae Young SF Bennedict Mathurin SG Victor Oladipo UTIL Stephen Curry,,,
833,3716828720,boom7667,17.02,288,C Alperen Sengun F Svi Mykhailiuk G Andrew Nembhard PF Georges Niang PG Kevin Porter Jr. SF Donte DiVincenzo SG Jalen Green UTIL Cody Zeller,,,
833,3716878113,jgreenblatt (50/60),17.02,288,C Paul Reed F Marjon Beauchamp G Jaden Hardy PF Jordan Nwora PG Trae Young SF Svi Mykhailiuk SG Shake Milton UTIL Stephen Curry,,,
833,3716931795,marwalk82 (2/2),17.02,288,C Isaiah Jackson F Donte DiVincenzo G Coby White PF Herbert Jones PG Theo Maledon SF Bennedict Mathurin SG Jalen Green UTIL Immanuel Quickley,,,
833,3716789585,webthekid (37/150),0,288,C Cody Zeller F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Spencer Dinwiddie SF Bennedict Mathurin SG Shake Milton UTIL Jaden Hardy,,,
833,3717115691,brugal (1/10),0,288,C Goga Bitadze F Jalen McDaniels G Shake Milton PF Pascal Siakam PG Fred VanVleet SF Jayson Tatum SG Derrick White UTIL Jaden Springer,,,
833,3717200033,andremoore (42/43),0,288,C Isaiah Jackson F Brandon Ingram G Trae Young PF Jaren Jackson Jr. PG Gabe Vincent SF Max Strus SG Shake Milton UTIL Jaden Hardy,,,
833,3717252328,hoover672,0,288,C Alperen Sengun F Marjon Beauchamp G Jaden Hardy PF RJ Barrett PG Immanuel Quickley SF Max Strus SG Jaden Ivey UTIL Isaiah Jackson,,,
848,3716924018,billsfan777 (141/150),48,287.75,C Isaiah Jackson F LeBron James G Jaden Hardy PF Jaren Jackson Jr. PG Trae Young SF Patrick Williams SG Shake Milton UTIL Cameron Payne,,,
848,3716923971,billsfan777 (94/150),41.02,287.75,C Alperen Sengun F LeBron James G Lindell Wigginton PF Jaren Jackson Jr. PG Theo Maledon SF Terence Davis SG Shake Milton UTIL Jaden Hardy,,,
848,3716970520,bgreseth (133/150),41.02,287.75,C Isaiah Jackson F Terence Davis G Trae Young PF Jaren Jackson Jr. PG Theo Maledon SF Marjon Beauchamp SG Jaden Springer UTIL LeBron James,,,
848,3717090538,jbasi73 (118/150),41.02,287.75,C Jock Landale F Patrick Williams G Theo Maledon PF Pascal Siakam PG Jaden Ivey SF Brandon Ingram SG Shake Milton UTIL Terence Davis,,,
848,3716811612,papagates (119/150),24,287.75,C Alperen Sengun F LeBron James G Trae Young PF Duncan Robinson PG Theo Maledon SF Haywood Highsmith SG Coby White UTIL Jaden Hardy,,,
848,3717081896,SteveyBallGame (13/44),24,287.75,C Mark Williams F Herbert Jones G Cameron Payne PF Haywood Highsmith PG Trae Young SF Brandon Ingram SG Jaden Hardy UTIL Alperen Sengun,,,
848,3716443639,dacoltz (108/150),17.02,287.75,C Isaiah Jackson F Buddy Hield G Lindell Wigginton PF Jabari Smith Jr. PG Trae Young SF Bennedict Mathurin SG Jaden Hardy UTIL Stephen Curry,,,
848,3717090518,jbasi73 (98/150),17.02,287.75,C Mark Williams F Terence Davis G Kevin Porter Jr. PF Patrick Williams PG Victor Oladipo SF Brandon Ingram SG Shake Milton UTIL Ja Morant,,,
848,3717226149,point124 (4/5),17.02,287.75,C Isaiah Jackson F Patrick Williams G Immanuel Quickley PF Bobby Portis PG Jaden Ivey SF Terence Davis SG Shake Milton UTIL Trae Young,,,
848,3717009465,michaeltran12 (2/2),0,287.75,C Goga Bitadze F Brandon Ingram G Theo Maledon PF Jae Crowder PG Kevin Porter Jr. SF Svi Mykhailiuk SG Johnny Davis UTIL Isaiah Jackson,,,
848,3717114218,ch062,0,287.75,C Cody Zeller F Jaren Jackson Jr. G Shake Milton PF Jalen McDaniels PG Immanuel Quickley SF Svi Mykhailiuk SG Johnny Davis UTIL Jakob Poeltl,,,
848,3717234957,bamor (10/11),0,287.75,C Alperen Sengun F Max Strus G Shake Milton PF JT Thor PG Kevin Porter Jr. SF Brandon Ingram SG Jalen Green UTIL Goga Bitadze,,,
860,3716470920,PickettsPicks,65.020004,287.5,C Alperen Sengun F Patrick Williams G Cameron Payne PF Tari Eason PG Stephen Curry SF Jalen McDaniels SG Jaden Springer UTIL Anthony Davis,,,
860,3717090430,jbasi73 (10/150),51.06,287.5,C Alperen Sengun F Terence Davis G Shake Milton PF Patrick Williams PG Jaden Ivey SF Brandon Ingram SG Jordan Poole UTIL Kevon Looney,,,
860,3716801381,papagates (19/150),41.02,287.5,C Mark Williams F Terence Davis G Trae Young PF Jalen McDaniels PG Theo Maledon SF Brandon Ingram SG Jaden Hardy UTIL Cameron Payne,,,
860,3716896102,MPascavis (97/150),41.02,287.5,C Alperen Sengun F Terence Davis G Ja Morant PF Jaren Jackson Jr. PG Spencer Dinwiddie SF Jalen McDaniels SG Jaden Springer UTIL Cameron Payne,,,
860,3716670881,JBCJBCJBC (131/150),34.04,287.5,C Nikola Vucevic F Pascal Siakam G Terence Davis PF Duncan Robinson PG Jaden Ivey SF Jalen McDaniels SG Victor Oladipo UTIL Stephen Curry,,,
860,3716507308,saad1021 (1/3),24,287.5,C Cody Zeller F Bennedict Mathurin G Coby White PF Cameron Johnson PG Jaden Ivey SF Trey Murphy III SG Immanuel Quickley UTIL Cameron Payne,,,
860,3716533154,fmeng23 (3/32),24,287.5,C Alperen Sengun F RJ Barrett G Cameron Payne PF Bobby Portis PG Jaden Ivey SF Patrick Williams SG Coby White UTIL Jevon Carter,,,
860,3716666960,ChipotleAddict (13/150),24,287.5,C Mark Williams F LeBron James G Shake Milton PF Jalen McDaniels PG Theo Maledon SF Brandon Ingram SG Victor Oladipo UTIL Jaden Hardy,,,
860,3717201509,signupfree (8/12),24,287.5,C Paul Reed F LeBron James G Dejounte Murray PF John Collins PG Shake Milton SF Jalen McDaniels SG Jaden Springer UTIL Trae Young,,,
860,3716670872,JBCJBCJBC (122/150),0,287.5,C Cody Zeller F Jaren Jackson Jr. G Kevin Porter Jr. PF Jayson Tatum PG Theo Maledon SF Max Strus SG Victor Oladipo UTIL Jaden Springer,,,
860,3716785548,LorenzoStax (9/50),0,287.5,C Isaiah Jackson F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Theo Maledon SF Max Strus SG Jaden Hardy UTIL Mark Williams,,,
860,3717154217,NYCbanker (11/12),0,287.5,C Jalen Duren F Brandon Ingram G Shake Milton PF Patrick Williams PG Theo Maledon SF Max Strus SG Jaden Ivey UTIL Jaden Hardy,,,
860,3717244866,moklovin (61/150),0,287.5,C Nic Claxton F Marjon Beauchamp G Ja Morant PF Jaren Jackson Jr. PG Theo Maledon SF Max Strus SG Victor Oladipo UTIL Jaden Hardy,,,
873,3717078900,magneto999 (16/150),48,287.25,C Anthony Davis F Brandon Ingram G Cameron Payne PF Patrick Williams PG Trae Young SF Max Strus SG Victor Oladipo UTIL Jaden Springer,,,
873,3716408675,garnes222 (87/150),34.04,287.25,C Isaiah Jackson F Trey Murphy III G Jaden Hardy PF Draymond Green PG Trae Young SF Marjon Beauchamp SG Shake Milton UTIL Stephen Curry,,,
873,3716801386,papagates (24/150),24,287.25,C Mark Williams F LeBron James G Trae Young PF Jalen McDaniels PG Theo Maledon SF Marjon Beauchamp SG Jaden Hardy UTIL Paul Reed,,,
873,3716670817,JBCJBCJBC (67/150),17.02,287.25,C Omer Yurtseven F Brandon Ingram G Trae Young PF Haywood Highsmith PG Theo Maledon SF Max Strus SG Jaden Springer UTIL Stephen Curry,,,
873,3717185151,mdahlberg1,17.02,287.25,C Alperen Sengun F Keegan Murray G Coby White PF Duncan Robinson PG Theo Maledon SF Svi Mykhailiuk SG Jalen Green UTIL Jonas Valanciunas,,,
873,3717208018,harmon2121,17.02,287.25,C Nic Claxton F Jalen McDaniels G Trae Young PF Aaron Nesmith PG Stephen Curry SF Joe Harris SG Bennedict Mathurin UTIL Goga Bitadze,,,
873,3717235160,ogease (4/4),17.02,287.25,C Alperen Sengun F Draymond Green G Jaden Hardy PF Pascal Siakam PG Theo Maledon SF Trey Murphy III SG Shake Milton UTIL Goga Bitadze,,,
873,3716408668,garnes222 (80/150),0,287.25,C Cody Zeller F RJ Barrett G Ja Morant PF Cameron Johnson PG Kevin Porter Jr. SF Jalen McDaniels SG Shake Milton UTIL Jaden Hardy,,,
873,3716966605,McCutchen99,0,287.25,C Goga Bitadze F Georges Niang G Jalen Green PF Bobby Portis PG Immanuel Quickley SF Svi Mykhailiuk SG Jaden Ivey UTIL Shake Milton,,,
873,3717134100,Mangone (26/30),0,287.25,C Mark Williams F Marjon Beauchamp G CJ McCollum PF Pascal Siakam PG Theo Maledon SF Svi Mykhailiuk SG Shake Milton UTIL Jaden Hardy,,,
873,3717151477,gatorthunder77 (6/10),0,287.25,C Alperen Sengun F Bryce McGowens G Shake Milton PF Pascal Siakam PG Gabe Vincent SF Svi Mykhailiuk SG Jaden Ivey UTIL Jaden Hardy,,,
873,3717244918,moklovin (113/150),0,287.25,C Cody Zeller F Brandon Ingram G Lindell Wigginton PF Jayson Tatum PG Trae Young SF Marjon Beauchamp SG Jaden Springer UTIL Jaden Hardy,,,
885,3716957502,TSCANS13 (22/50),41.02,287,C Alperen Sengun F Terence Davis G Kevin Porter Jr. PF Haywood Highsmith PG Theo Maledon SF Brandon Ingram SG Jaden Ivey UTIL Saben Lee,,,
885,3716970452,bgreseth (65/150),41.02,287,C Anthony Davis F Jaren Jackson Jr. G Lindell Wigginton PF Haywood Highsmith PG Theo Maledon SF Brandon Ingram SG Jaden Springer UTIL Terence Davis,,,
885,3717090441,jbasi73 (21/150),34.04,287,C Alperen Sengun F Jalen McDaniels G Kevin Porter Jr. PF Pascal Siakam PG Victor Oladipo SF PJ Dozier SG Jordan Poole UTIL Jaden Ivey,,,
885,3716483159,Nickelback4Lyfe (68/150),24,287,C Anthony Davis F Trey Murphy III G Jaden Springer PF Jaren Jackson Jr. PG Lindell Wigginton SF Marjon Beauchamp SG Mikal Bridges UTIL Jaden Hardy,,,
885,3717232087,Dazillion44 (10/10),24,287,C Cody Zeller F Josh Okogie G Immanuel Quickley PF Jabari Smith Jr. PG Shake Milton SF Svi Mykhailiuk SG Jaden Ivey UTIL Theo Maledon,,,
885,3716444538,yojoe40 (1/3),0,287,C Alperen Sengun F Bobby Portis G Shake Milton PF Jalen McDaniels PG Coby White SF Brandon Ingram SG Svi Mykhailiuk UTIL Isaiah Hartenstein,,,
885,3716789641,webthekid (93/150),0,287,C Nikola Vucevic F Brandon Ingram G Spencer Dinwiddie PF Caleb Martin PG Theo Maledon SF Jalen McDaniels SG Shake Milton UTIL Jaden Hardy,,,
885,3716984917,michaeltran12 (1/2),0,287,C Cody Zeller F Jabari Smith Jr. G Jalen Green PF Jae Crowder PG Immanuel Quickley SF Svi Mykhailiuk SG Shake Milton UTIL Theo Maledon,,,
893,3717211634,Urmomshusband (3/4),65.020004,286.75,C Anthony Davis F Sam Hauser G Theo Maledon PF Patrick Williams PG Cameron Payne SF Jae Crowder SG Victor Oladipo UTIL Stephen Curry,,,
893,3716967327,millskc (6/75),48,286.75,C Goga Bitadze F LeBron James G Shake Milton PF Jordan Nwora PG Trae Young SF Brandon Ingram SG Victor Oladipo UTIL Cameron Payne,,,
893,3717079029,magneto999 (145/150),48,286.75,C Goga Bitadze F LeBron James G Cameron Payne PF RJ Barrett PG Jaden Ivey SF Marjon Beauchamp SG Jaden Hardy UTIL Trae Young,,,
893,3716570754,bpcologna (121/150),41.02,286.75,C Mark Williams F Terence Davis G Lindell Wigginton PF Bol Bol PG Trae Young SF Brandon Ingram SG Victor Oladipo UTIL Anthony Davis,,,
893,3716570755,bpcologna (122/150),41.02,286.75,C Isaiah Jackson F LeBron James G Lindell Wigginton PF Jaren Jackson Jr. PG Trae Young SF Terence Davis SG Shake Milton UTIL Jaden Hardy,,,
893,3716692813,mhaag11223212 (2/18),41.02,286.75,C Isaiah Jackson F Torrey Craig G Spencer Dinwiddie PF Jaren Jackson Jr. PG Theo Maledon SF Marjon Beauchamp SG Jaden Springer UTIL Stephen Curry,,,
893,3716811543,papagates (50/150),41.02,286.75,C Paul Reed F Terence Davis G Trae Young PF Jaren Jackson Jr. PG Theo Maledon SF Patrick Williams SG Jaden Hardy UTIL Cameron Payne,,,
893,3717022516,keg4540 (89/150),24,286.75,C Isaiah Jackson F Brandon Ingram G Cameron Payne PF Jaren Jackson Jr. PG Shake Milton SF Marjon Beauchamp SG Jaden Hardy UTIL Alperen Sengun,,,
