id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6589,Rhoden,Jared,20.31,DET,SG,@ IND,23,9.63,1.05,5.16,1.21,0.9,0.31,1.16,2.41,1.66,0.49,3.46,5.36,0.03,0,
5668,Williams,Robert,20.09,BOS,PF/C,TOR,20,6.65,0,7.19,1.27,0.51,0.95,0.85,2.95,0.75,0.36,2.95,1.05,0.03,0,Off Injury Report
5274,Caruso,Alex,19.97,CHI,PG/SG,@ DAL,26,7.02,1.04,3.29,3.02,1.5,0.63,0.97,1.31,1.28,0.28,2.35,3.1,0.01,0,Questionable
6009,Williams,Grant,19.92,BOS,PF,TOR,28,8.06,1.47,5.36,2.02,0.44,0.57,1.34,1.15,1.35,0.4,2.62,3.69,0.03,0,
6212,Richards,Nick,19.57,CHA,C,HOU,18,9.23,0,5.71,0.52,0.21,1.21,0.93,3.37,2.49,0.85,3.37,1.83,0.03,0,
5681,Vanderbilt,Jarred,19.53,LAL,PF/C,PHO,22,5.95,0.31,6.73,1.92,1.07,0.25,1.03,1.98,1.06,0.47,2.29,2.17,0.01,0,
6274,Suggs,Jalen,19.52,ORL,PG/SG,@ BKN,24,9.79,1.19,2.48,2.43,1.03,0.45,1.15,2.21,1.8,0.67,3.4,5.06,0,0,
6297,Jones,Kai,19.4,CHA,PF,HOU,24,8.82,0.35,5.22,0.59,0.61,1.24,1.48,3.24,1.29,0.62,3.59,3.27,0.03,0,
5459,Kennard,Luke,19.36,MEM,SG,@ MIL,27,10.29,2.7,3.25,1.81,0.58,0.1,0.86,0.71,0.77,0.06,3.41,4.64,0.01,0,Off Injury Report
6289,Kuminga,Jonathan,19.13,GSW,SF/PF,@ SAC,20,11.38,0.91,2.94,1.53,0.61,0.34,1.16,3.74,1.17,0.69,4.65,3.6,0.01,0,
6159,Bey,Saddiq,18.96,ATL,SF/PF,PHI,22,10.33,1.61,3.87,1.22,0.59,0.16,0.72,2,1.5,0.27,3.61,4.78,0.01,0,
6658,Jackson,Quenton,18.94,WAS,SG,MIA,21,10.09,0.95,2.73,2.05,0.97,0.34,1.48,2.6,2.04,0.56,3.55,4.86,0.01,0,
3945,Powell,Dwight,18.69,DAL,C,CHI,22,7.91,0,5.05,1.49,0.97,0.43,1.21,3.23,1.45,0.68,3.23,0.87,0.02,0,
3581,Ross,Terrence,18.66,PHO,SG/SF,@ LAL,23,10.04,1.93,3.09,1.66,0.61,0.17,0.54,1.8,0.65,0.11,3.73,5.68,0.01,0,
6321,Dosunmu,Ayo,18.35,CHI,PG/SG,@ DAL,26,9.35,0.7,2.58,2.57,0.77,0.29,1.12,3.14,0.97,0.24,3.84,4,0,0,
3696,Bullock,Reggie,17.62,DAL,SG/SF,CHI,28,8.15,2.28,3.45,1.7,0.72,0.14,0.52,0.5,0.31,0.12,2.78,3.72,0.01,0,
5235,Niang,Georges,17.61,PHI,PF,@ ATL,20,10.58,2.55,2.7,0.97,0.43,0.19,0.65,1.14,0.65,0.12,3.69,4.86,0.01,0,
6016,Brissett,Oshae,17.55,IND,PF,DET,22,8.33,0.91,4.72,1.01,0.56,0.26,0.62,1.78,2.04,0.76,2.69,4.22,0.01,0,
3388,Morris,Markieff,17.42,DAL,PF,CHI,20,7.3,1.29,4.37,2.05,0.5,0.28,1.27,1.42,0.59,0.08,2.71,3.94,0.01,0,
5382,House,Danuel,16.87,PHI,SG/SF,@ ATL,24,8.23,1.39,3.43,1.45,0.48,0.47,0.86,1.51,1.04,0.4,2.9,3.37,0.01,0,
5046,Richardson,Josh,16.71,NOR,SG/SF,NYK,19,8.24,1.34,2.3,1.98,0.85,0.34,0.87,1.69,0.84,0.12,3.03,3.68,0,0,
5014,Harrell,Montrezl,16.52,PHI,PF/C,@ ATL,15,9.11,0,3.64,0.83,0.44,0.55,0.75,3.73,1.65,0.7,3.73,1.87,0.01,0,
6530,McGowens,Bryce,16.44,CHA,SG,HOU,24,8.99,1.02,3.02,1.55,0.52,0.21,1.26,1.98,1.97,0.68,3,4.31,0.01,0,
5036,Nance Jr.,Larry,16.28,NOR,PF/C,NYK,18,5.79,0.19,4.64,1.71,0.7,0.42,0.42,2.18,0.86,0.37,2.37,1.65,0,0,
6334,Sims,Jericho,16.19,NYK,PF,@ NOR,22,5.86,0,6.09,0.67,0.41,0.63,0.76,2.74,0.38,0.19,2.74,0.66,0.01,0,
3902,Antetokounmpo,Thanasis,15.89,MIL,SF,MEM,18,8.21,0.11,3.78,0.97,0.52,0.56,1.46,3.03,1.82,1.36,3.14,3.39,0.01,0,
