id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
5804,Watanabe,Yuta,11.40,PHO,SF,@ LAL,16.00,5.00,1.01,2.63,0.83,0.46,0.34,0.48,0.73,0.51,0.18,1.74,2.47,0.00,0.000,,
6109,Reddish,Cam,10.88,LAL,SG/SF,PHO,18.00,5.73,0.74,1.65,0.83,0.70,0.25,0.85,1.19,1.13,0.22,1.93,2.79,0.00,0.000,Probable,
2643,Tucker,P.J.,10.72,PHI,SF/PF,@ MIL,24.00,3.24,0.75,3.63,0.82,0.58,0.21,0.49,0.41,0.17,0.05,1.16,1.85,0.00,0.000,,
6286,Springer,Jaden,9.15,PHI,PG,@ MIL,11.00,4.28,0.27,1.40,1.04,0.63,0.20,0.47,1.40,0.67,0.24,1.67,1.98,0.00,0.000,,
5991,Little,Nassir,6.22,PHO,SF/PF,@ LAL,8.00,3.43,0.52,1.13,0.36,0.18,0.19,0.32,0.77,0.33,0.09,1.29,1.79,0.00,0.000,,
6079,Hayes,Jaxson,4.70,LAL,PF/C,PHO,6.00,1.91,0.04,1.33,0.30,0.18,0.22,0.28,0.67,0.45,0.16,0.71,0.55,0.00,0.000,,
6310,Petrusev,Filip,0.00,PHI,C,@ MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6114,Bol,Bol,0.00,PHO,PF/C,@ LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5722,Metu,Chimezie,0.00,PHO,C,@ LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5711,Bamba,Mo,0.00,PHI,C,@ MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5002,Booker,Devin,0.00,PHO,SG/SF,@ LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Doubtful,
6515,Washington,TyTy,0.00,MIL,PG,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5702,Bates-Diop,Keita,0.00,PHO,SF,@ LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5906,Bolden,Marques,0.00,MIL,C,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3902,Antetokounmpo,Thanasis,0.00,MIL,SF,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6744,Hood-Schifino,Jalen,0.00,LAL,PG,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6194,Azubuike,Udoka,0.00,PHO,C,@ LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3439,Beal,Bradley,0.00,PHO,PG/SG,@ LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Doubtful,
5681,Vanderbilt,Jarred,0.00,LAL,PF,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
5436,Korkmaz,Furkan,0.00,PHI,SG,@ MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5382,House,Danuel,0.00,PHI,SG/SF,@ MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6756,Lewis,Maxwell,0.00,LAL,SF,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6039,Wigginton,Lindell,0.00,MIL,PG,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6788,Hodge,D'Moi,0.00,LAL,SG,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
2847,Lopez,Robin,0.00,MIL,C,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6785,Castleton,Colin,0.00,LAL,PF,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
5249,Lee,Damion,0.00,PHO,SG/SF,@ LAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
3001,Harden,James,0.00,PHI,PG/SG,@ MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6762,Smith,Terquavion,0.00,PHI,PG,@ MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6773,Jackson Jr.,Andre,0.00,MIL,SG,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6776,Council IV,Ricky,0.00,PHI,SG,@ MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6375,Smart,Javonte,0.00,PHI,PG,@ MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6779,Livingston,Chris,0.00,MIL,SF,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6542,Christie,Max,0.00,LAL,SG,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6583,Green,AJ,0.00,MIL,SG,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6835,Fudge,Alex,0.00,LAL,SF,PHO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
3047,Green,Danny,0.00,PHI,SG/SF,@ MIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
